clouds,max_wind_spd,min_temp,revision_status,snow,solar_rad,temp,wind_gust_spd,wind_spd
36,6.5,13.0,1,0.0,152,17.2,11.6,4.8
41,4.5,13.0,1,0.0,226,17.3,8.4,3.2
64,3.9,14.0,1,0.0,188,16.6,7.6,1.7
61,6.5,14.0,1,0.0,145,15.6,15.6,4.2
51,6.1,11.0,1,0.0,210,14.2,16.8,4.1
71,6.1,12.0,1,0.0,143,15.1,14.0,4.2
58,9.4,15.0,1,0.0,308,17.2,20.4,5.9
59,5.1,13.0,1,0.0,149,16.0,12.4,3.7
53,5.8,13.0,1,0.0,268,17.1,9.6,3.6
57,9.0,11.0,1,0.0,93,17.5,12.8,4.5
85,4.1,17.0,1,0.0,68,19.4,10.8,2.7
43,4.0,18.0,1,0.0,294,21.4,6.8,2.3
65,5.3,16.0,1,0.0,80,19.0,12.8,3.6
61,5.8,16.0,1,0.0,102,18.1,14.4,3.9
57,5.8,15.0,1,0.0,151,18.2,11.6,3.0
67,4.4,15.0,1,0.0,123,19.5,7.2,2.3
71,5.7,17.0,1,0.0,193,19.0,14.4,3.6
51,8.5,16.0,1,0.0,138,18.8,14.8,5.3
40,6.8,16.0,1,0.0,221,20.4,10.0,4.7
25,4.6,15.0,1,0.0,278,20.6,7.6,2.7
68,4.6,16.0,1,0.0,182,19.2,6.0,2.4
51,5.8,16.0,1,0.0,92,19.5,8.4,3.0
55,4.4,17.0,1,0.0,150,19.9,5.2,2.2
43,4.4,13.0,1,0.0,161,19.7,6.8,1.9
45,3.7,15.0,1,0.0,290,19.0,7.6,2.0
55,5.1,13.0,1,0.0,166,19.4,10.0,2.7
64,4.8,15.0,1,0.0,216,18.4,10.4,2.6
45,6.1,11.0,1,0.0,85,17.0,8.8,3.0
27,7.6,14.0,1,0.0,191,18.4,15.6,5.3
13,4.7,10.0,1,0.0,253,18.7,8.4,2.6
32,7.6,15.0,1,0.0,226,18.4,12.0,3.7
25,6.2,14.0,1,0.0,214,17.9,10.4,4.2
34,3.6,10.0,1,0.0,141,16.8,7.2,2.1
29,3.7,13.0,1,0.0,234,18.0,7.6,2.1
52,4.0,14.0,1,0.0,92,17.9,7.2,1.8
49,3.7,12.0,1,0.0,247,18.2,5.6,1.7
74,4.2,13.0,1,0.0,259,19.0,6.4,1.7
45,4.0,15.0,1,0.0,151,20.3,8.4,2.5
76,5.0,15.0,1,0.0,77,19.9,10.4,3.4
60,6.1,12.0,1,0.0,90,17.3,13.2,3.1
46,8.9,16.0,1,0.0,228,18.2,18.0,6.5
39,8.8,15.0,1,0.0,196,17.9,14.4,6.0
19,7.5,12.0,1,0.0,160,17.1,13.2,4.8
47,4.0,12.0,1,0.0,247,18.9,8.0,2.2
56,5.3,15.0,1,0.0,90,19.7,10.8,2.7
57,6.6,16.0,1,0.0,132,20.5,12.4,3.9
72,5.8,16.0,1,0.0,69,20.2,14.4,3.5
12,7.0,12.0,1,0.0,200,16.7,12.8,4.1
33,5.6,11.0,1,0.0,116,16.6,10.8,3.5
18,6.1,13.0,1,0.0,212,17.7,10.0,3.5
11,5.7,10.0,1,0.0,202,16.5,11.6,3.0
45,4.7,14.0,1,0.0,115,17.1,10.8,3.1
18,5.4,13.0,1,0.0,198,16.9,10.8,4.0
52,6.7,15.0,1,0.0,84,17.4,17.2,4.8
10,8.4,15.0,1,0.0,206,18.0,16.8,6.0
28,7.6,16.0,1,0.0,128,18.7,15.6,5.7
0,6.5,12.0,1,0.0,220,16.7,16.0,4.5
19,5.4,14.0,0,0.0,163,17.3,12.8,3.7
14,5.3,11.0,0,0.0,216,18.1,5.9,3.1
9,8.1,12.0,0,0.0,215,18.6,9.8,4.4
33,5.4,13.0,0,0.0,159,17.9,6.2,2.7
1,6.8,12.0,0,0.0,210,15.5,8.0,3.9
45,4.1,10.0,0,0.0,183,12.9,4.5,2.7
39,4.2,12.0,0,0.0,195,13.3,4.7,2.4
